pws_id,name,state,population_served
CA1910042,Pico Rivera Water Department,California,"39,000"
CA1910044,Glendora Water Department,California,"45,300"
CA1910048,Castaic Lake Water Agency,California,0
CA1910049,Huntington Park Water Department,California,"17,209"
CA1910050,"Commerce-city, Water Department",California,"3,828"
CA1910051,City of Inglewood,California,"82,500"
CA1910053,Hemlock Mutual Water Company,California,864
CA1910070,Los Angeles County WW District 4 & 34-Lancaster,California,"180,131"
CA1910079,Lynwood Water Department,California,"71,297"
CA1910081,Lynwood Park Mutual Water Company,California,"2,300"
CA1910084,Maywood Mutual Water Company #1,California,"5,500"
CA1910090,Monrovia Water Department,California,"36,590"
CA1910091,Montebello Land & Water Company,California,"32,219"
CA1910092,Monterey Park Water Department,California,"62,183"
CA1910096,Newhall CWD-Newhall,California,"12,487"
CA1910097,Northrop Grumman Corp.,California,"7,533"
CA1910098,Golden State Water Company (GSWC) - Norwalk,California,"44,466"
CA1910101,Orchard Dale Water District,California,"22,492"
CA1910105,Paramount Water Department,California,"55,051"
CA1910108,Park Water Company - Bell Gardens,California,"11,879"
CA1910125,Pico WD,California,"24,100"
CA1910126,Pomona Water Department,California,"151,713"
CA1910128,Covina Irrigating Company,California,0
CA1910140,Rubio Canon Land & Water Association,California,"9,600"
CA1910152,South Gate Water Department,California,"96,057"
CA1910153,South Montebello Irrigation District,California,"9,574"
CA1910158,Sterling Mutual Water Company,California,776
CA1910160,Tract 349 Mutual Water Co.,California,"7,500"
CA1910163,Valencia Heights Water Company,California,"5,500"
CA1910167,Vernon Water Department,California,"45,000"
CA1910173,Whittier Water Department,California,"49,954"
CA1910174,Suburban Water Systems - Whittier,California,"59,169"
CA1910186,Cal-am Water Company - Duarte,California,"21,589"
CA1910191,Norwalk Water Department,California,"18,372"
CA1910195,Gswc - Hollydale,California,"7,661"
CA1910199,California Domestic Water Company,California,"1,200"
CA1910211,Liberty Utilities - Bellflower - Norwalk,California,"72,884"
CA1910212,Golden State Water Company (GSWC) - South Arcadia,California,"26,827"
CA1910218,La Habra Heights County Water District,California,"5,379"
CA1910240,Valencia Water Company,California,"117,251"
CA1910247,Newhall Cwd-castaic,California,"6,376"
CA1910250,Newhall Cwd-pinetree,California,"9,148"
CA1990001,West Basin Municipal District,California,0
CA2010007,Hillview Water Company-oakhurst/sierra Lakes,California,"2,805"
CA2210943,Mariposa Industrial Park Water Company,California,60
CA2310003,City of Ukiah,California,"16,185"
CA2410001,City of Atwater,California,"29,050"
CA2410008,Meadowbrook Water Company,California,"6,309"
CA2410009,City of Merced,California,"81,130"
CA2410010,Winton Water & Sanitary District,California,"8,500"
CA2710004,California American Water Company - Monterey,California,"96,754"
CA2710705,Camp Roberts - California National Guard,California,"1,528"
CA3010001,City of Anaheim,California,"450,000"
CA3010003,City of Buena Park,California,"82,450"
CA3010010,City of Fullerton,California,"138,251"
CA3010022,Golden State Water Company - West Orange,California,"114,016"
CA3010023,City of Newport Beach,California,"64,465"
CA3010027,City of Orange,California,"138,640"
CA3010030,City of San Juan Capistrano,California,"40,000"
CA3010035,Golden State WC - Placentia,California,"36,374"
CA3010037,Yorba Linda Water District,California,"77,513"
CA3010038,City of Santa Ana,California,"329,815"
CA3010046,City of Tustin,California,"69,100"
CA3010047,Golden State Water Company - Cowan Heights,California,"5,390"
CA3010053,City of Huntington Beach,California,"201,000"
CA3010062,City of Garden Grove,California,"170,883"
CA3010064,City of Westminster,California,"91,169"
CA3010068,East Orange County Water District - Rz,California,"3,000"
CA3010082,Serrano Water District,California,"6,641"
CA3010092,Irvine Ranch Water District,California,"370,000"
CA3010120,San Juan Basin Authority,California,0
CA3090001,Orange County Water District,California,-1
CA3100538,Rosecrest Mutual,California,31
CA3301877,Block 77 Water Company,California,50
CA3310004,Box Springs Mutual Water Company,California,"3,000"
CA3310009,Eastern Municipal Water District,California,"512,711"
CA3310012,Elsinore Valley Municipal Water District,California,"142,264"
CA3310021,Jurupa Community Services District,California,"106,907"
CA3310022,Lake Hemet Municipal Water District,California,"50,001"
CA3310025,City of Norco,California,"27,160"
CA3310026,Nuevo Water Company,California,"6,000"
CA3310031,City of Riverside,California,"303,871"
CA3310033,Santa Ana River Water Company,California,"8,080"
CA3310037,City of Corona,California,"155,896"
CA3310038,Rancho California Water District,California,"120,000"
CA3310044,Rubidoux Community SD,California,"26,150"
CA3310046,Farm Mutual Water Company (the),California,"3,335"
CA3310083,Chino Basin Desalter Authority - Desalter 2,California,0
CA3400173,Northgate 880 [sws],California,"2,926"
CA3400180,Branch Center [sws],California,"1,700"
CA3410001,Sacramento Suburban Water District,California,"171,200"
CA3410010,California American Water Company - Suburban,California,"111,768"
CA3410013,California American Water Company - Lincoln Oaks,California,"46,606"
CA3410017,California American Water Company - Parkway,California,"44,949"
CA3410020,City of Sacramento Main,California,"486,189"
CA3410023,Fruitridge Vista Water Company,California,"15,000"
CA3410026,California State Fair,California,"90,000"
CA3410029,Sacramento County Water Authority - Laguna/Vineyar,California,"148,814"
CA3410045,Calam - Arden,California,"9,048"
CA3600152,Loma Linda Power Plant,California,"10,500"
CA3600155,River Ranch Mobile Home Park,California,700
CA3600220,Csa 42 Oro Grande,California,700
CA3601051,Cemex - Alabama,California,25
CA3601061,Calportland Oro Grande Plant,California,150
CA3601145,Victor Valley  Wastewater Reclam,California,80
CA3610001,City of Adelanto,California,"31,765"
CA3610005,Lake Arrowhead CSD,California,"12,424"
CA3610014,City of Colton,California,"52,086"
CA3610024,Hesperia Water District,California,"91,627"
CA3610034,Ontario Municipal Utilities Company,California,"167,382"
CA3610037,Redlands City,California,"80,000"
CA3610038,City of Rialto,California,"48,623"
CA3610043,Golden State Water Company - Barstow,California,"33,554"
CA3610055,Yucaipa Valley Water District,California,"44,629"
CA3610075,Chino Basin Desalter Authority - Desalter 1,California,0
CA3610085,San Antonio Water Company,California,"3,371"
CA3610112,Helendale Community Service District,California,"5,716"
CA3710008,Fallbrook PUD,California,"34,096"
CA3900732,V & P Trailer Court Water System,California,35
CA3901082,St Josephs Hospital,California,150
CA3901181,Northwest Pipe Company,California,82
CA3910001,California Water Service - Stockton,California,"185,346"
CA3910005,City of Manteca,California,"66,451"
CA3910011,City of Tracy,California,"82,000"
CA3910012,City of Stockton,California,"171,687"
CA3910015,City of Lathrop,California,"12,427"
CA4000213,Toyota San Luis Obispo,California,57
CA4000216,Tank Farm Business Park,California,45
CA4000563,Higuera Apartments,California,30
CA4000604,Paragon Triangle Water Supply,California,50
CA4000725,141 Suburban Road Water Supply,California,25
CA4000728,Whitson Industrial Park,California,75
CA4000730,Holdgrafer & Associates,California,30
CA4000734,Noll Properties,California,100
CA4000744,Afuera De Chorro Water Company,California,75
CA4000752,Copeland's Properties,California,25
CA4000753,Slo Partners,California,40
CA4000766,Waste Connections Water Co,California,35
CA4000768,J M Sims Water Supply,California,34
CA4000772,Newsom Springs Mutual Water Co,California,24
CA4000777,"Strasbaugh, Inc",California,200
CA4000806,Vachell Water System,California,150
CA4000817,East Airport Fiero Lane Water Company,California,50
CA4010002,Atascadero Mutual Water Company,California,"30,332"
CA4010832,Atascadero State Hospital,California,"2,500"
CA4110006,California Water Service - Bear Gulch,California,"58,432"
CA4310004,City of Gilroy,California,"39,050"
CA4310011,San Jose Water Company,California,"998,000"
CA4310027,Santa Clara Valley Water District,California,0
CA4400762,Sheriff's Rehab,California,150
CA4400763,Buena Vista Migrant Center,California,455
CA4410010,Santa Cruz Water Department,California,"94,887"
CA4410011,City of Watsonville,California,"65,739"
CA4410014,San Lorenzo Valley Water District,California,"21,145"
CA4500098,Anderson Mobile Home Park,California,45
CA4500274,Airport Industrial Park,California,90
CA4510001,City of Anderson,California,"11,127"
CA4510005,City of Redding,California,"91,207"
CA4900792,Wayside Gardens Mobile Home Park,California,75
CA4900795,Stonegate Mobile Home Park,California,100
CA4910023,California-american Larkfield (puc),California,"8,270"
CA5000019,Riverdale Park Tract Community Services District,California,300
CA5000048,Lazy B Mobilehome Park,California,125
CA5010010,City of Modesto,California,"212,000"
CA5010028,City of Ceres,California,"42,666"
CA5101009,Wildewood East Mutual,California,350
CA5200526,Hidden Harbor Marina & Rvp,California,70
CA5200529,Evoqua Water Technologies Llc,California,33
CA5200539,Friendly Acres Mobile Home Park,California,75
CA5200626,Reynolds Consumer Products  (red Bluff),California,150
CA5201057,Sierra Pacific Industries - Red Bluff Mi,California,450
CA5201143,Sierra Pacific Industries - Windows,California,350
CA5310001,Weaverville Community Services District,California,"3,554"
CA5401039,Tulare County Civic Center,California,300
CA5410010,City of Porterville,California,"55,107"
CA5410016,California Water Service (CWS) - Visalia,California,"135,923"
CA5602117,Strickland Acres,California,500
CA5610008,Pleasant Valley Mutual Water Company,California,"5,000"
CA5610010,Rio Plaza Water Company Inc.,California,"2,000"
CA5610029,Vineyard Avenue Acres Mutual Water Company,California,"1,820"
CA5610046,United Water Cons District,California,0
CA5810001,Cal-water Service Company - Marysville,California,"12,017"
CA5810003,Olivehurst Public UD,California,"13,738"
CO0101025,City of Brighton,Colorado,"36,010"
CO0101150,City of Thornton,Colorado,"155,700"
CO0101157,Todd Creek Village Md,Colorado,"5,828"
CO0103035,East Cherry Creek Valley Water and Sanitation Dist,Colorado,"50,554"
CO0105500,"Springfield, Town of",Colorado,"1,378"
CO0107582,Olde Stage Water District,Colorado,250
CO0107701,San Lazaro Mfctd Housing Community,Colorado,844
CO0113100,Crowley County Wa,Colorado,530
CO0113200,Crowley County Ws,Colorado,0
CO0113500,"Olney Springs, Town of",Colorado,399
CO0118045,Perry Park Water & Sanitation District,Colorado,"3,315"
CO0121275,City of Fountain,Colorado,"29,000"
CO0121775,Security Waster District,Colorado,"19,000"
CO0121800,Stratmoor Hills Water & Sanitation District,Colorado,"6,500"
CO0121900,Widefield WSD,Colorado,"22,414"
CO0125288,"Fraser, Town of",Colorado,"2,150"
CO0130033,Forest Hills Md  Riva Chase,Colorado,400
CO0130065,Indian Hills Water District,Colorado,"1,300"
CO0134338,Heartwood Co-op Housing,Colorado,60
CO0138045,City of Sterling,Colorado,"15,100"
CO0145420,"La Junta, City of",Colorado,"9,200"
CO0145600,"Rocky Ford, City of",Colorado,"4,093"
CO0151400,Oneal Ws,Colorado,350
CO0159050,Farmers Korner Mobile Home Park,Colorado,159
CO0159055,"Frisco, Town of",Colorado,"4,495"
CO0159105,Snake River Water District,Colorado,"9,900"
CO0159120,Tanglewood Ws,Colorado,60
CO0160200,Highland Lakes Water District,Colorado,875
CO0160450,Rosewood Hills Property Homeowners Association,Colorado,135
CO0160550,Valley Maint Corporation No. 1,Colorado,470
CO0162438,"Keenesburg, Town of",Colorado,"2,550"
CO0162486,"Lochbuie, Town of",Colorado,"6,830"
CO0201417,Johnson Auto Plaza,Colorado,247
CO0203002,Arapahoe Cnty Wwwa,Colorado,"31,000"
CO0207192,Blue Leaf School Llc,Colorado,65
CO0212800,Sierra Grande School District,Colorado,304
CO0230192,Yellow Barn Limited,Colorado,75
CO0230300,Evergreen South,Colorado,80
CO0247004,Deer Creek Elem School,Colorado,450
CO0247011,Platte Canyon High Fitzsimmons Middle,Colorado,480
CO0247326,Guffey Charter School,Colorado,70
CO0260200,Dawn Of Hope Ranch,Colorado,55
CO0263003,Idalia School,Colorado,452
CT0150011,Aquarion Water Company of Connecticut - Main Syste,Connecticut,"351,756"
CT0170011,Bristol Water Department,Connecticut,"52,079"
CT0230011,Connecticut Water Company - Naugatuck Reg-collinsv,Connecticut,"6,324"
CT0280011,Colchester Sewer & Water Commission,Connecticut,"4,020"
CT0330011,Cromwell Fire District Water Department,Connecticut,"14,316"
CT0350011,Aquarion Water Company of Connecticut - Noroton Sy,Connecticut,"18,737"
CT0490021,Hazardville Water Company,Connecticut,"18,544"
CT0520011,CTWC - Unionville System,Connecticut,"14,693"
CT0770021,Manchester Water Department,Connecticut,"51,066"
CT0780021,University of Connecticut - Main Campus,Connecticut,"27,199"
CT0800011,Meriden Water Division,Connecticut,"58,441"
CT0930011,Regional Water Authority,Connecticut,"418,900"
CT0970011,Aquarion Water Company of Ct-newtown System,Connecticut,"4,037"
CT1030011,Norwalk First Taxing District,Connecticut,"40,256"
CT1040011,Norwich Public Utilities,Connecticut,"36,067"
CT1100011,"Valley Water Systems, Inc.",Connecticut,"18,231"
CT1310011,Southington Water Department,Connecticut,"43,069"
CT1666011,Aquarion Water Company of Ct-tlwc Woodrich,Connecticut,81
DE0000552,Artesian Water Company,Delaware,"301,000"
DE0000564,Suez Water Delaware,Delaware,"100,495"
DE0000569,Stage Village Mobile Home Community,Delaware,93
DE0000630,Newark Water Department,Delaware,"36,450"
DE0000663,Wilmington Water Department,Delaware,"107,976"
DE00A0323,South Bethany,Delaware,"15,771"
FL1170302,Gonzalez Utilities Association Inc.,Florida,"6,356"
FL1170525,Emerald Coast Utilities Authority,Florida,"255,884"
FL1170718,Erec Water System,Florida,"3,984"
FL1570042,Bagdad-garcon Point Water System,Florida,"8,225"
FL1570671,Pace Water System Inc.,Florida,"41,100"
FL1660196,City of Defuniak Springs,Florida,"12,243"
FL2010207,Newberry Water Treatment Plant,Florida,"3,885"
FL2620208,Perry Water System,Florida,"8,900"
FL3050834,Mims Water Treatment / North Brevard Co.,Florida,"7,958"
FL3350346,City of Eustis,Florida,"35,089"
FL3350942,Villages of Lake - Sumter - WTPs 1 3 & 5,Florida,"18,603"
FL3351566,Leesburg East (2wps),Florida,"9,629"
FL3354781,Harbor Hills - 2 Wtps,Florida,"1,219"
FL3354916,Southlake Utilities,Florida,"8,300"
FL3420074,"Belleview, City of",Florida,"8,433"
FL3420922,City of Ocala,Florida,"57,665"
FL3590205,City of Sanford,Florida,"70,576"
FL3640286,City of Deland,Florida,"50,910"
FL4060486,City of Fort Lauderdale,Florida,"182,245"
FL4060573,City of Hallandale Beach,Florida,"40,000"
FL4060642,City of Hollywood,Florida,"147,566"
FL4060787,City of Lauderhill,Florida,"55,000"
FL4060925,Miramar (East & West) Plants,Florida,"127,700"
FL4060976,City of North Lauderdale,Florida,"35,709"
FL4061083,City of Pembroke Pines,Florida,"168,600"
FL4061129,City of Pompano Beach,Florida,"84,000"
FL4061410,City of Sunrise,Florida,"79,550"
FL4064326,Sunrise Southwest,Florida,"9,457"
FL4130077,Bal Harbour Village,Florida,"3,059"
FL4130089,"Bay Harbor Islands, Town of",Florida,"6,006"
FL4130604,City of Hialeah,Florida,"240,000"
FL4130871,Miami Dade Water and Sewer Authority,Florida,"2,300,000"
FL4130901,City of Miami Beach,Florida,"92,307"
FL4130970,"North Bay Village, City of",Florida,"8,317"
FL4130977,City of North Miami,Florida,"88,349"
FL4131001,City of Opa Locka,Florida,"15,701"
FL4134357,FKAA J. Robert Dean Water Treatment Plant,Florida,"86,000"
FL4134513,Miami International Airport,Florida,"30,000"
FL4430259,City of Stuart - Water Plant,Florida,"19,000"
FL4500145,Boynton Beach Water Treatment Plant,Florida,"112,000"
FL4500351,Delray Beach Water Department,Florida,"60,200"
FL4500773,Lake Worth Utilities,Florida,"48,000"
FL4500784,Lantana Water Treatment Plant,Florida,"9,432"
FL4504903,Seminole Improvement District,Florida,"4,996"
FL4560490,Ft. Pierce Utilities Authority,Florida,"58,000"
FL4560971,North Hutchinson Island,Florida,"3,954"
FL5110142,Immokalee Water,Florida,"25,608"
FL5110198,Naples Water Department,Florida,"52,906"
FL5360172,Florida Governmental Utility Authority,Florida,"29,656"
FL5364048,Lee County Utilities,Florida,"251,502"
FL6280049,City of Avon Park,Florida,"18,561"
FL6290327,City of Tampa Water Department,Florida,"645,000"
FL6290333,Seaboard Utilities,Florida,"13,707"
FL6290787,South-Central Service Area,Florida,"421,362"
FL6291372,Hcpud/pebble Creek Subdivision,Florida,"5,411"
FL6296141,Hawkins Road Camp,Florida,71
FL6296193,MacDill Air Force Base,Florida,"11,965"
FL6421144,Marion Oaks Subdivision,Florida,"19,401"
FL6510050,Aloha Gardens Utilities,Florida,"8,136"
FL6510424,Dade City Water Department,Florida,"14,373"
FL6511311,Orangewood Water System,Florida,"5,937"
FL6511361,PCUD-Pasco County Regional Public Water System,Florida,"214,409"
FL6512020,City of Zephyrhills,Florida,"23,097"
FL6512214,Seven Springs,Florida,"32,834"
FL6521784,Tarpon Springs Water System,Florida,"30,415"
FL6530431,"Davenport, City of",Florida,"5,733"
FL6531992,Winter Haven Water Department,Florida,"70,653"
FL6600990,Lake Panasoffkee Water Association 2wps,Florida,"4,642"
FL6604862,Little Sumter Utilities 3wps,Florida,"25,382"
FL6605012,North Sumter Utility,Florida,"44,517"
GA0230000,Cochran,Georgia,"6,297"
GA0510002,Port Wentworth,Georgia,"5,500"
GA0550003,Summerville,Georgia,"11,651"
GA0570003,Woodstock,Georgia,"10,070"
GA0630000,Clayton County Water Authority,Georgia,"270,000"
GA1150002,Rome,Georgia,"45,586"
GA1290000,Calhoun,Georgia,"49,088"
GA1450011,Harris County Water System,Georgia,"20,062"
GA1690000,Gray,Georgia,"9,191"
GA1710000,Barnesville,Georgia,"6,755"
GA1850002,Valdosta,Georgia,"51,769"
GA2070074,South Monroe County Water System,Georgia,"5,663"
GA2130000,Chatsworth,Georgia,"28,262"
GA2450000,Augusta-Richmond Company,Georgia,"204,000"
GA2910000,Blairsville,Georgia,"4,035"
GU0000006,Gwa Northern Water System,NA,"135,465"
IA2985002,West Burlington Muni. Water Supply,Iowa,"3,370"
IA3126052,Dubuque Water Works,Iowa,"57,637"
IA7048001,Muscatine Power & Water,Iowa,"24,386"
ID4010022,Capitol Water Corporation,Idaho,"9,000"
IL0010650,Quincy,Illinois,"45,000"
IL0035030,IL  American-cairo,Illinois,"2,925"
IL0070050,Belvidere,Illinois,"25,070"
IL0235400,Union-york Water District,Illinois,600
IL0270350,Germantown,Illinois,"1,481"
IL0630030,Hawthorn Estates Subdivision,Illinois,49
IL0670500,Nauvoo,Illinois,"1,149"
IL0670650,Warsaw,Illinois,"1,607"
IL0710300,Oquawka,Illinois,"1,500"
IL0735120,Wolf Ridge Well Corporation,Illinois,88
IL0855100,Mount Vernon Association Inc.,Illinois,490
IL0890800,South Elgin,Illinois,"22,549"
IL0890850,Sugar Grove,Illinois,"10,962"
IL0910650,Momence,Illinois,"3,200"
IL0950200,Galesburg,Illinois,"31,745"
IL0970200,Fox Lake,Illinois,"6,450"
IL1075030,IL American-Lincoln,Illinois,"15,200"
IL1110100,Cary,Illinois,"18,271"
IL1110400,Lake In The Hills,Illinois,"28,965"
IL1110650,Marengo,Illinois,"7,445"
IL1115700,Utilities Inc.-whispering Hills Water Company,Illinois,"8,240"
IL1130200,Bloomington,Illinois,"77,610"
IL1190200,East Alton,Illinois,"6,300"
IL1190250,Edwardsville,Illinois,"23,287"
IL1191150,Wood River,Illinois,"12,750"
IL1194280,Collinsville,Illinois,"29,500"
IL1410350,Mount Morris,Illinois,"3,000"
IL1415185,Mount Morris Estates Mobile Home Park,Illinois,395
IL1435030,IL American - Peoria,Illinois,"121,478"
IL1435470,Pleasant Valley Public Water District,Illinois,"4,584"
IL1610250,East Moline,Illinois,"20,500"
IL1610450,Moline,Illinois,"44,500"
IL1610650,Rock Island,Illinois,"39,684"
