pws_id,name,state,population_served
CA5010018,City of Riverbank,California,"22,201"
CA5110001,City Of Live Oak,California,"8,700"
CA5200014,Wilson Acres Mutual Water,California,75
CA5602110,Navalair Mobile Home Park,California,160
CA5602120,Vineyard Mutual Water Company/industrial,California,259
CA5602133,"Beedy Water Company, Llc",California,35
CA5602407,Rio Mesa High School/oxnard Uhs,California,"2,600"
CA5610017,Ventura Water Department,California,"112,677"
CA5610035,Rio Manor Mutual Water Company,California,900
CA5610056,Vineyard Ave. Estates Mutual Water Company,California,"1,200"
CA5700712,Dunnigan Water Works,California,400
CA5710005,City Of Winters,California,"7,098"
CO0101055,City of Federal Heights,Colorado,"11,678"
CO0101063,Greatrock North Water & Sanitation District,Colorado,961
CO0101085,Hillcrest Village Mobile Home Park,Colorado,"1,505"
CO0101115,City of Northglenn,Colorado,"49,650"
CO0103005,City of Aurora,Colorado,"314,346"
CO0103045,City of Englewood,Colorado,"46,541"
CO0107473,City of Lafayette,Colorado,"28,700"
CO0107610,Pine Brook Hills Water District,Colorado,"1,100"
CO0107719,Spring Valley Mutual Wa,Colorado,100
CO0108350,Buena Vista Correctional Facility,Colorado,"1,700"
CO0108650,"Poncha Springs, Town of",Colorado,"1,467"
CO0109006,"Cheyenne Wells, Town of",Colorado,840
CO0113900,"Sugar City, Town of",Colorado,240
CO0118010,Castle Rock,Colorado,"92,372"
CO0118020,Cottonwood WSD,Colorado,"10,867"
CO0118040,Parker WSD,Colorado,"52,175"
CO0118076,Stonegate MD,Colorado,"15,071"
CO0119134,"Basalt, Town of",Colorado,"2,125"
CO0119234,Eagle River Village Mobile Home Park,Colorado,"1,500"
CO0119321,Green Acres Mobile Home Park,Colorado,125
CO0119673,Red Sky Ranch,Colorado,291
CO0119718,Sopris Village Homeowners Association,Colorado,425
CO0119786,Upper Eagle Regional WA,Colorado,"31,581"
CO0119802,Eagle River WSD,Colorado,"28,620"
CO0121125,Cherokee MD,Colorado,"23,000"
CO0121140,Colorado Centre Md,Colorado,"3,675"
CO0121200,Elephant Rock Mobile Home Park,Colorado,60
CO0121220,Par Properties LLC,Colorado,67
CO0121240,Falcon Heights Property Owners Association,Colorado,300
CO0121360,Forest Lakes Md,Colorado,294
CO0121475,"Monument, Town of",Colorado,"4,100"
CO0123123,Asgard Subdivision Wa,Colorado,80
CO0123133,Battlement Mesa Md,Colorado,"4,100"
CO0123167,"Carbondale, Town of",Colorado,"6,700"
CO0123601,Panoramic Mesa Subdivision,Colorado,45
CO0123676,"Rifle, City of",Colorado,"9,489"
CO0123710,"Silt, Town of",Colorado,"2,400"
CO0123838,Westbank Ranch  Homeowners Association,Colorado,400
CO0123860,Wooden Deer Homeowners Association,Colorado,38
CO0125322,"Grand Lake, Town of",Colorado,"2,035"
CO0125352,"Hot Sulphur Springs, Town of",Colorado,748
CO0126325,"Gunnison, City of",Colorado,"7,620"
CO0129233,Eagles Watch Homeowners Association,Colorado,83
CO0129834,"Walden, Town of",Colorado,584
CO0130020,Consolidated Mutual Maple Grove,Colorado,"24,135"
CO0130035,Genesee Water & Sanitation District,Colorado,"3,900"
CO0130050,Homestead Water Company,Colorado,875
CO0130055,Idledale Water & Sanitation District,Colorado,350
CO0130085,"Morrison, Town of",Colorado,"9,887"
CO0130095,Mountain View Village,Colorado,38
CO0130184,Conifer Md,Colorado,525
CO0130187,Cragmont Water Company,Colorado,40
CO0131400,"Eads, Town of",Colorado,622
CO0133150,Mountain View Village West,Colorado,440
CO0133600,Mountain View Village East,Colorado,226
CO0134020,Animas Water Company,Colorado,"2,720"
CO0134210,El Rancho Florida Md,Colorado,400
CO0134330,Forrest Grove Estates,Colorado,115
CO0134480,Goodman Property Owners Association,Colorado,96
CO0134530,Lake Durango Wa,Colorado,"1,577"
CO0134840,Elbert Creek Water Co.,Colorado,525
CO0135291,City of Fort Collins,Colorado,"124,262"
CO0137010,"Hugo, Town of",Colorado,885
CO0138030,"Peetz, Town of",Colorado,295
CO0139180,Clifton WD,Colorado,"34,500"
CO0143176,Chipeta Water District,Colorado,"3,461"
CO0143515,Suburban Water,Colorado,859
CO0144001,"Brush, City of",Colorado,"5,117"
CO0144025,Pagels Tp,Colorado,300
CO0145210,"Fowler, Town of",Colorado,"1,169"
CO0146592,Elk Meadows Estates,Colorado,215
CO0147090,Shawnee Wca,Colorado,50
CO0149842,White Horse Springs Water District,Colorado,70
CO0150400,Granada Wa,Colorado,378
CO0151050,Avondale Water & Sanitation District,Colorado,"1,615"
CO0151500,Pueblo,Colorado,"112,019"
CO0151650,Pueblo West MD,Colorado,"30,000"
CO0151750,St. Charles Mesa Water District,Colorado,"9,690"
CO0153200,"Del Norte, Town of",Colorado,"1,800"
CO0154715,Sleepy Bear Mobile Home Park,Colorado,150
CO0154755,Tree Haus Md,Colorado,248
CO0154842,White Haven Mobile Home Park,Colorado,56
CO0157011,Aldasoro Ranch Hoc,Colorado,73
CO0157250,Ilium Valley Ws,Colorado,165
CO0157400,"Mountain Village, Town of",Colorado,"8,700"
CO0157800,"Telluride, Town of",Colorado,"7,900"
CO0158001,"Julesburg, Town of",Colorado,"1,225"
CO0159005,Blue River Valley Ranch Lakes,Colorado,150
CO0159025,Buffalo Mountain Md,Colorado,"2,650"
CO0159030,Copper Mountain Consolidated Md,Colorado,"5,785"
CO0159035,"Dillon, Town of",Colorado,"3,254"
CO0159040,Dillon Valley District,Colorado,"3,063"
CO0159045,East Dillon Water District,Colorado,"2,501"
CO0159065,Keystone Ranch,Colorado,670
CO0159070,Kingdom Park Court,Colorado,70
CO0159095,"Silverthorne, Town of",Colorado,"6,835"
CO0162511,"Milliken, Town of",Colorado,"9,160"
CO0162833,Wattenburg Improvement Association,Colorado,350
CO0203012,Inverness Water & Sanitation District,Colorado,"8,140"
CO0218015,Meridian MD,Colorado,"20,750"
CO0221060,Big Pines Campground,Colorado,72
CO0221980,Wolford Elementary School District 20,Colorado,475
CO0223833,Waldorf School,Colorado,218
CO0230013,Coal Creek Elementary,Colorado,150
CO0230043,Marshdale Elem School,Colorado,920
CO0230045,Montessori School Of Evergreen,Colorado,100
CO0230225,Conifer High School,Colorado,"2,350"
CO0230290,Elk Creek Elem School,Colorado,600
CO0230355,285 Business Park,Colorado,46
CO0230514,Montessori Middle School,Colorado,75
CO0235182,Csu Foothills Campus,Colorado,"4,483"
CO0247205,Deer Creek Md,Colorado,662
CO0253860,Rio Grande Water Company LLC,Colorado,265
CO0254200,Twenty Mile Coal Co,Colorado,475
CO0254676,Riverbend Cabins,Colorado,55
CT0580011,Jewett City Water Company,Connecticut,"6,840"
CT1130011,Portland Water Department,Connecticut,"5,010"
DE0000246,Seaford Water Department,Delaware,"6,699"
DE0000634,Municipal Services Commission,Delaware,"6,000"
DE00A0837,Bayside Pump District,Delaware,"7,500"
FL1030467,"Mexico Beach, City of",Florida,"5,317"
FL2551004,St. Johns County Sawgrass Grid,Florida,"12,133"
FL3051447,City of Melbourne,Florida,"165,940"
FL3350745,City of Leesburg,Florida,"38,889"
FL3590201,City of Lake Mary,Florida,"16,746"
FL3600007,Village Of Pine Ridge (consec),Florida,"4,075"
FL4430667,Indiantown Company,Florida,"5,847"
FL4470257,Okeechobee Utility Authority,Florida,"20,000"
FL4501559,West Palm Beach Water Treatment Plant,Florida,"102,000"
FL5084100,Charlotte County Utilities,Florida,"128,967"
FL6290388,Northwest Utilities,Florida,"202,326"
FL6410182,City of Bradenton,Florida,"54,409"
FL6411098,Town of Longboat Key,Florida,"7,603"
FL6424652,Spruce Creek Utility Company Inc.,Florida,"8,662"
FL6514846,Hudson School Complex,Florida,"1,200"
FL6520705,Gulfport Water System,Florida,"12,600"
FL6521406,Pinellas Park Water Department,Florida,"48,939"
FL6530315,City of Bartow,Florida,"21,501"
GA0150001,Bartow County,Georgia,"57,720"
GA0170000,Fitzgerald,Georgia,"14,011"
GA0670001,Austell,Georgia,"7,774"
GA0670003,Cobb County,Georgia,"695,000"
GA0670007,Smyrna,Georgia,"35,000"
GA1130001,Fayette County,Georgia,"77,051"
GA1130003,Fayetteville,Georgia,"15,281"
GA1170000,Cumming,Georgia,"47,541"
GA1210001,Atlanta,Georgia,"650,000"
GA1210006,Hapeville,Georgia,"5,790"
GA1210009,Roswell,Georgia,"14,300"
GA1430000,Bremen,Georgia,"6,200"
GA1510001,Henry County Water & Sewer Authority,Georgia,"218,667"
GA1690002,Jones County,Georgia,"11,130"
GA2170001,Covington,Georgia,"17,272"
GA2190000,Oconee County - Watkinsville,Georgia,"21,897"
GA2270000,Jasper,Georgia,"9,600"
GA2550000,Griffin,Georgia,"23,643"
GA2670002,Glennville Water System,Georgia,"5,173"
GA2850001,Lagrange,Georgia,"41,852"
GA2970001,Monroe,Georgia,"23,376"
GA2970002,Social Circle,Georgia,"4,235"
GA3110000,Cleveland Waterworks,Georgia,"4,906"
GA3130000,Dalton Utilities,Georgia,"99,315"
HI0000331,Honolulu-Windward-Pearl Harbor,Hawaii,"631,389"
HI0000335,Waipahu-Ewa-Waianae,Hawaii,"217,479"
IA0790074,Waterloo Water Works,Iowa,"70,070"
IA2326048,Iowa-American Water Co-Clinton District,Iowa,"26,885"
IA3060001,Iowa Lakes Regional Water - Lakes Area,Iowa,"4,762"
IA3070078,Spirit Lake Waterworks,Iowa,"5,578"
IA6803010,Albia Municipal Water Works,Iowa,"3,766"
IA7717032,Bondurant Muni Water Supply,Iowa,"3,860"
IA8222001,Iowa-American Water Company - Davenport,Iowa,"137,201"
IA9630012,Decorah Water Department,Iowa,"8,127"
IA9778054,Sioux City Water Supply,Iowa,"82,759"
ID2250013,Cottonwood Water Department,Idaho,944
ID2290024,Apex Living Community,Idaho,150
ID4200032,City of Mountain Home,Idaho,"14,000"
ID6060071,"Shelley, City of",Idaho,"4,409"
IL0050020,Bond/madison Water Company,Illinois,"6,100"
IL0110200,Cherry,Illinois,490
IL0130200,Hardin,Illinois,"1,000"
IL0210500,Pana,Illinois,"5,847"
IL0290050,Ashmore,Illinois,785
IL0310810,Evanston,Illinois,"74,486"
IL0310990,Glencoe,Illinois,"8,723"
IL0312070,Northbrook,Illinois,"33,170"
IL0313300,Wilmette,Illinois,"27,650"
IL0313330,Winnetka,Illinois,"12,385"
IL0374850,Sandwich,Illinois,"7,421"
IL0430200,Carol Stream,Illinois,"40,610"
IL0437245,Vietzen Mobile Home Park,Illinois,145
IL0450150,Hume,Illinois,382
IL0570250,Canton,Illinois,"14,700"
IL0574620,London Mills,Illinois,500
IL0610100,Eldred,Illinois,211
IL0630550,Minooka,Illinois,"11,307"
IL0670250,Carthage,Illinois,"2,605"
IL0670400,Hamilton,Illinois,"2,951"
IL0690160,Il American-rosiclare,Illinois,"1,387"
IL0810300,Mount Vernon,Illinois,"15,591"
IL0835300,Jersey RWC,Illinois,"16,540"
IL0850100,East Dubuque,Illinois,"2,000"
IL0870350,Vienna,Illinois,"1,697"
IL0875510,Vienna Correctional Center,Illinois,"3,043"
IL0890120,Mill Creek Water Reclamation District,Illinois,"8,000"
IL0894070,Aurora,Illinois,"200,500"
IL0894380,Elgin,Illinois,"108,188"
IL0894830,St Charles,Illinois,"33,264"
IL0910020,Lake Shannon,Illinois,500
IL0910070,Windmill Estates,Illinois,84
IL0915030,Aqua Illinois - Kankakee,Illinois,"80,275"
IL0970050,Antioch,Illinois,"14,365"
IL0970240,"Bluff Lake Lodges, Inc.",Illinois,24
IL0970800,Lake Forest,Illinois,"19,375"
IL0970900,Libertyville,Illinois,"20,315"
IL0971250,North Chicago,Illinois,"16,813"
IL0971900,Waukegan,Illinois,"88,182"
IL0975790,Lake County Public Water District,Illinois,1
IL0990020,Jons Mobile Home Park,Illinois,92
IL0990300,La Salle,Illinois,"9,700"
IL1070450,New Holland,Illinois,350
IL1110011,Harbor Lites-pistakee Fshg Cl,Illinois,66
IL1110050,Algonquin,Illinois,"30,400"
IL1110150,Crystal Lake,Illinois,"40,743"
IL1110200,Fox River Grove,Illinois,"4,854"
IL1110300,Hebron,Illinois,"1,200"
IL1110600,Mc Henry,Illinois,"22,020"
IL1110750,Richmond,Illinois,"1,874"
IL1115250,Aqua Illinois-eastwood Manor,Illinois,900
IL1130650,Heyworth,Illinois,"2,800"
IL1130900,Normal,Illinois,"44,197"
IL1130950,Saybrook,Illinois,693
IL1150150,Decatur,Illinois,"76,122"
IL1174160,Brighton,Illinois,"7,182"
IL1190150,Bethalto,Illinois,"17,500"
IL1190300,Glen Carbon,Illinois,"12,800"
IL1190550,Highland,Illinois,"10,919"
IL1195030,IL American-granite City,Illinois,"40,541"
IL1195150,IL American - Alton,Illinois,"58,375"
IL1195210,Mitchell Public Water District,Illinois,"5,655"
IL1195300,Pontoon Beach Public Water District,Illinois,"3,853"
IL1195550,Southern Il University-edwardsville,Illinois,"3,500"
IL1290050,Athens,Illinois,"4,316"
IL1370050,Chapin,Illinois,592
IL1570100,Chester,Illinois,"8,702"
IL1615530,"Beverly Hillsdale Estates, Llc",Illinois,63
IL1630350,Dupo,Illinois,"5,000"
IL1630850,Millstadt,Illinois,"4,380"
IL1730350,Sigel,Illinois,386
IL1770150,Davis,Illinois,700
IL1790100,Creve Coeur,Illinois,"5,900"
IL1790550,North Pekin,Illinois,"1,573"
IL1794320,Deer Creek,Illinois,704
IL1795040,IL American - Pekin,Illinois,"35,000"
IL1797010,Valley View 4 and 6-knolls,Illinois,230
IL1830250,Fairmount,Illinois,690
IL1835120,Aqua Illinois-Vermilion County,Illinois,"38,000"
IL1950550,Tampico,Illinois,750
IL1970500,Lockport,Illinois,"19,887"
IL1970900,Romeoville,Illinois,"52,000"
IL1971100,Wilmington,Illinois,"5,757"
IL1975030,Aqua Illinois-university Park,Illinois,"7,052"
IL1975376,Garden Street Improvement Association,Illinois,54
IL1975400,College View Subdivision,Illinois,570
IL1975600,East Moreland Water Service Association,Illinois,"1,055"
IL1975880,Ingalls Park Subdivision,Illinois,744
IL1977730,Sunnyland Subdivision,Illinois,300
IL1995120,Corinth Public Water District,Illinois,"3,927"
IL2010300,Rockford,Illinois,"147,051"
IL2010350,Rockton,Illinois,"7,685"
IL2015050,Bradley Heights Subdivision,Illinois,130
IL2015345,Bill-mar Heights Mobile Home Park,Illinois,160
IL2015545,Mancuso Village Park Mobile Home Park,Illinois,537
IN2201093,Lippert Components (plant #30),Indiana,200
IN5202020,Fort Wayne - 3 Rivers Filtration Plant,Indiana,"266,000"
IN5219008,Ireland Utilities Inc.,Indiana,"4,175"
IN5219009,Jasper Municipal Water Utility,Indiana,"16,983"
IN5220009,Goshen Water Utility,Indiana,"32,267"
IN5241005,Indiana American Water - Johnson County,Indiana,"79,205"
IN5241009,Whiteland Water Works,Indiana,"4,346"
IN5243030,Indiana American Water - Warsaw,Indiana,"12,358"
IN5249004,Citizens Water - Indianapolis,Indiana,"825,173"
IN5263003,Pike-gibson Water Inc.,Indiana,"8,425"
IN5269001,Batesville Water Utility,Indiana,"6,600"
IN5271009,Mishawaka Utilities,Indiana,"47,652"
IN5272001,Scottsburg Water Department,Indiana,"6,737"
IN5279015,Purdue University Water Works,Indiana,"55,000"
IN5288004,New Pekin Water Utility,Indiana,"2,025"
KS2004503,City of Lawrence,Kansas,"97,286"
KS2005111,City of Hays,Kansas,"20,852"
KS2009106,City of Gardner,Kansas,"21,871"
KS2012702,"Council Grove, City of",Kansas,"2,079"
KY0030239,Lawrenceburg Water & Sewer Department,Kentucky,"14,748"
KY0040020,Barlow Water System,Kentucky,"1,040"
KY0060392,Sharpsburg Water District,Kentucky,"4,332"
KY0080034,Boone County Water & Sewer District,Kentucky,"66,300"
KY0090343,Paris Water Works,Kentucky,"14,479"
KY0130208,Jackson Municipal Water Works,Kentucky,"4,704"
KY0160052,Butler County Water System Inc,Kentucky,"14,256"
KY0170528,Caldwell County Water District,Kentucky,"6,000"
KY0210066,Carroll Co. Water District #1,Kentucky,"5,934"
KY0240329,Oak Grove Utilities Office,Kentucky,"8,762"
KY0250473,Winchester Municipal Utilities,Kentucky,"32,213"
KY0340250,Kentucky-American Water Company,Kentucky,"299,501"
KY0360026,Southern Water & Sewer District,Kentucky,"22,480"
KY0370128,Farmdale Water District,Kentucky,"8,203"
KY0370143,Frankfort Plant Board,Kentucky,"52,153"
KY0400233,Lancaster Water Works,Kentucky,"4,573"
KY0450169,Greenup Water System,Kentucky,"12,193"
KY0450478,Worthington Municipal Water Works,Kentucky,"1,673"
KY0470175,Hardin County Water District #2,Kentucky,"76,326"
KY0510188,Henderson Municipal Water & Sewer,Kentucky,"31,705"
KY0540936,Madisonville Light & Water,Kentucky,"28,102"
KY0590220,Northern Kentucky Water District,Kentucky,"199,460"
KY0610016,Barbourville Water & Electric,Kentucky,"16,420"
KY0630238,Laurel County Water District #2,Kentucky,"17,520"
KY0680438,Vanceburg Electric Plant Board,Kentucky,"6,921"
KY0710378,City of Russellville,Kentucky,"8,613"
KY0760672,Kirksville Water Association,Kentucky,"5,940"
KY0810366,Western Lewis Rectorville Water District,Kentucky,"6,534"
KY0820041,Brandenburg Water Works,Kentucky,"4,333"
KY0831010,Cave Run Regional Water Commission,Kentucky,25
KY0890071,Central City Water & Sewer,Kentucky,"5,601"
KY0890170,Greenville Utilities Commission,Kentucky,"5,649"
KY0890304,Muhlenberg County Water District #3,Kentucky,"6,181"
KY0900031,Bloomfield Water & Sewer Department,Kentucky,"5,771"
KY0920631,Perdue Farms Inc,Kentucky,"1,163"
KY0960126,Falmouth Water Department,Kentucky,"3,861"
KY0980350,Pikeville Water Department,Kentucky,"9,638"
KY1020253,Livingston Municipal Water Works,Kentucky,529
KY1030480,Morehead State University,Kentucky,"6,500"
KY1040377,Russell Springs Water & Sewer,Kentucky,"9,409"
KY1070144,Franklin Water Works,Kentucky,"13,068"
KY1070398,Simpson County Water District,Kentucky,"8,946"
KY1100944,Todd County Water District,Kentucky,"9,801"
KY1110054,Cadiz Municipal Water Company,Kentucky,"5,609"
KY1130422,Sturgis Water Works,Kentucky,"3,490"
LA1003009,Southwest Allen Water Works District No. 2,Louisiana,"7,300"
LA1015002,Town of Benton Water System,Louisiana,"6,825"
LA1017014,Town of Greenwood Water System,Louisiana,"5,205"
LA1017031,Shreveport Water System,Louisiana,"201,000"
LA1037004,East Feliciana Rural Gurley Rd Ws,Louisiana,"3,462"
LA1051001,East Jefferson Waterworks District 1,Louisiana,"243,782"
LA1051004,West Jefferson Waterworks District 2,Louisiana,"188,770"
LA1055082,Belle Place Trailer Park Water System,Louisiana,330
LA1069007,Natchitoches Water System,Louisiana,"30,000"
LA1073031,Monroe Water System,Louisiana,"52,572"
LA1075001,Belle Chasse Water District,Louisiana,"17,391"
LA1085055,South Toledo Bend Water District,Louisiana,"5,802"
LA1089001,St Charles Water District 1 East Bank,Louisiana,"52,879"
LA1093005,St. James Water District 2,Louisiana,"9,392"
LA1095002,St. John Water District 2,Louisiana,"3,702"
LA1109001,Houma Water Treatment Service Area,Louisiana,"31,560"
LA1109002,Schriever Water Treatment Service Area,Louisiana,"97,152"
LA1111005,Farmerville Water System,Louisiana,"4,977"
MA1004001,Dcr Mt Greylock State Reservation,Massachusetts,464
MA1008000,Amherst DPW  Water Division,Massachusetts,"37,819"
MA1015000,Athol DPW Water Division,Massachusetts,"10,172"
MA1015001,Adams Farm Slaughterhouse Llc,Massachusetts,45
MA1022010,Sherwood Shoppe,Massachusetts,50
