"CWPName","SourceID","CWPStreet","CWPCity","CWPState","RegistryID","SupOver80CountUsDisp","CWPBioInspCount","BioVioLastYearFlag","BioQtrsWithVio","CWPBioFeaCount"
"290 KICKPOO WWTP","TX0137162","35515 HWY 290","CITY OF WALLER","TX","110069337159","3",0,"N",0,0
"301 EAST ARCH - STP","IL0054623","301 EAST ARCH ","MOUNT AUBURN","IL","110009985329","0",0,"N",0,0
"3600 CHAPEL HILL ROAD","GA0030341","DOUGLAS COUNTY","DOUGLASVILLE","GA","110064348790","0",0,"N",0,0
"3M TECHNICAL CERAMICS ","OK0040142","3250 S 614 RD","QUAPAW","OK","110056581275","0",1,"N",0,0
"4-S RANCH WRF","CAL010551","1966 OLIVENHAIN ROAD","ENCINITAS","CA","110069996521","0",0,"N",0,0
"4000 ALPINE PKWY ZANESFIELD OH 43360 LLC","OH0141356","4000 ALPINE PKWY LOT J4","ZANESFIELD","OH","110055173146","0",0,"N",0,0
"412 BIOSOLIDS PROCESSING FACILITY","FLL356697","412 CYPRESS RD","OCALA","FL","110035542115","2",0,"N",0,0
"4S RANCH WWTP","TX0135691","6500' N/NE INTEX FMR 1863 AND SMITHSON VALLEY RD","CITY OF SAN ANTONIO","TX","110062646258","0",0,"N",0,0
"69TH ST WWTP","TX0096172","2525 S. SGT. MACARIO GARCIA ON","HOUSTON","TX","110041047505","13",0,"N",0,0
"A&MP; M HEEP WWTP","TX0125288","1431 SATTERWHITE RD ","BUDA","TX","110012684675","0",0,"N",0,0
"A-1 QUALITY SERVICE LIME STABILIZATION RMF","FLL016228","750 ARIANA AVE","AUBURNDALE","FL","110035550757","9",0,"N",0,0
"A-ABLE RMF","FLL011887","2190 N CREDE AVE","CRYSTAL RIVER","FL","110027953846","0",0,"N",0,0
"A1 ADVANCED PUMPING SERVICE INC","WI0058891","N4314 CTH M","HAMILTON","WI","110070007323",,0,"N",0,0
"AAA WASTEWATER SERVICES INC","OH0133604","3677 ANTHONY LN","FRANKLIN","OH","110044273434","0",0,"Y",11,0
"AAA WHITE'S SEPTIC TANK SERVICE RMF","FLL012052","15430 CORTEZ BLVD","BROOKSVILLE","FL","110027953294","0",0,"N",0,0
"AB&E POTTY CAN, LLC","LAU008454","139 CUMBERLAND DR.","BOGALUSA","LA","110071363638",,0,"N",3,0
"ABBEVILLE, CITY OF","LAL039748","1908 E. LAFAYETTE STREET","ABBEVILLE","LA","110000732422","5",0,"N",0,0
"ABBEVILLE/LONG CANE CREEK","SCL040614","542 BROOKSIDE DR","ABBEVILLE","SC","110000541682","1",0,"N",0,0
"ABBEY OF ST WALBURGA","COL622041","1029 BENEDICTINE WAY","VIRGINIA DALE","CO","110038448828","0",0,"N",0,0
"ABBYLAND PORK PACK INC., CURTISS PLANT","WI0057363","539 N. MERIDAN ST. PO BOX 67","CURTISS","WI","110067553980","3",0,"N",0,0
"ABENGOA BIONERGY COPORATION","NEL131539","1414 ROAD O","YORK","NE","110063130669","0",0,"N",0,0
"ABERDEEN POTW, EAST","MSL055581","HIGHWAY 25 AT HIGHWAY 45","ABERDEEN","MS","110000751605","4",0,"N",0,0
"ABERDEEN PROVING GROUND, ABERDEEN AREA WWTP","MDL021237","P.O. BOX 70","ABERDEEN","MD","110069999784",,0,"N",0,0
"ABERDEEN STP","WAL037192","200 E MARKET ST","ABERDEEN","WA","110005311741","4",0,"N",0,0
"ABERDEEN WWTP","MSL024783","125 WEST COMMERCE STREET","ABERDEEN","MS","110039823046","7",0,"N",0,0
"ABERDEEN WWTP","OH0023825","901 HIGH ST","ABERDEEN","OH","110011017522","1",0,"N",0,0
"ABERDEEN, CITY OF","IDL020176","33 NORTH MAIN STREET","ABERDEEN","ID","110010027336","1",0,"N",0,0
"ABERDEEN, CITY OF (BIOSOLIDS)","SDL020702","700 SE 135TH STREET","ABERDEEN, CITY OF","SD","110006692711","1",2,"N",0,0
"ABERDEEN, CITY OF - ABERDEEN WWTP","ID0020176","2683 WEST 1750 SOUTH","ABERDEEN","ID","110010027336","1",0,"N",0,0
"ABILENE, CITY OF (WWTP)","KS0098647","801 S WASHINGTON ST","ABILENE","KS","110037936179","0",0,"N",0,0
"ABILENE, CITY OF WWTP","KSL098647","1014 2100 AVENUE","ABILENE","KS","110070002406","0",1,"N",0,0
"ABINGDON REGIONAL WWTP","VAL026531","21436 VANCE MILL ROAD","ABINGDON","VA","110010918490","0",0,"N",0,0
"ABINGDON STP, CITY OF","IL0020761","266 KNOX RD  500 NORTH ","ABINGDON","IL","110018328415","1",0,"N",0,0
"ABINGTON TWP COMM-WWTR TRTMT P","PAL026867","1176 OLD YORK ROAD","ABINGTON","PA","110059957756","0",0,"N",0,0
"ABRAXAS WWTF","TX0133116","3301 CATTLEBARON RD","WHITE SETTLEMENT","TX","110064639734","0",0,"N",0,0
"ABSOLUTE WASTE SOLUTIONS, INC.","OK0042862","39285 BROOKSVILLE RD","TECUMSEH","OK","110009155001","I",2,"N",0,0
"ACADEMY WWTP","TX0020249","206 S HWY 95","LITTLE RIVER-ACADEMY","TX","110006800355","0",0,"N",0,0
"ACADIAN GARDENS CONDOMINIUMS ASSOCIATION","LAJ660192","775 G BAYOU LIBERTY RD","SLIDELL","LA","110044261544","1",0,"N",0,0
"ACME BRICK CO.-HOLLAND CLAY MINE","OK0043401","APROX.1 3/4 MI W OF OOLOGAH ON RD 39","OOLOGAH","OK","110017890442","I",1,"N",0,0
"ACTON MUD WWTP 1 DECORDOVA BEND","TX0105163","4300 CIMMARON TRAIL","ACTON","TX","110010131071","0",0,"N",0,0
"ACTON MUD WWTP 2 PECAN PLANTATION","TX0105155","6542 EDGEWOOD CT","HOOD COUNTY","TX","110009774011","0",0,"N",0,0
"ADA WATER POLLUTION ABATEMENT CENTER","WV0023141","ROUTE 112","BLUEFIELD","WV","110010851783","5",1,"N",3,0
"ADA WWTP","OH0020583","3623 CO RD 44","ADA","OH","110006112214","0",0,"N",0,0
"ADA, CITY OF","OK0026115","1801 N MISSISSIPPI","ADA","OK","110064255461","I",5,"N",0,0
"ADAIRVILLE","KYL000001","110 NORTH MAIN STREET","ADAIRVILLE","KY","110012914365","0",0,"N",0,0
"ADAMS (V)","NYL034771","3 SOUTH MAIN STREET","ADAMS","NY","110070002346","0",0,"N",0,0
"ADAMS ACRES SUBDIV","OH0079049","320 CO RD 108","FREMONT","OH","110064255568","0",0,"N",0,0
"ADAMS TWP WWSL","MIG580213","16798 EAST OBENHOFF ROAD","ATLANTIC MINE","MI","110009910999","0",0,"N",0,0
"ADAMS TWP/PAINESDALE WWSL","MIG580312","15600 CHASSELL PAINESDALE ROAD","PAINESDALE","MI","110009910597","0",0,"N",0,0
"ADAMS W W T P","MAL100315","273 COLUMBIA STREET","ADAMS","MA","110000761113","1",0,"N",0,0
"ADAMS W W T P","MA0100315","273 COLUMBIA STREET","ADAMS","MA","110000761113","1",0,"N",0,0
"ADAMS WASHOUT","NE0134139","18142 E HIGHWAY 41","ADAMS","NE","110015973240","0",0,"N",0,0
"ADAMSTOWN BORO SEWER AUTH","PAL021865","P.O. BOX 546","ADAMSTOWN","PA","110025319091","1",0,"N",0,0
"ADDICKS UD WWTP","TX0112585","18450 GORESCHEKE RD","HOUSTON","TX","110009747952","8",0,"N",0,0
"ADDIEVILLE STP, VILLAGE OF","IL0049140","NORTH CENTER ST","ADDIEVILLE","IL","110009735876","0",0,"N",0,0
"ADDISON - NORTH STP","IL0033812","711 NORTH ADDISON ROAD","ADDISON","IL","110018410245","8",0,"N",0,0
"ADDISON LAGOON & SPRAYFIELD","AL0075621","16864 COUNTY ROAD 41","ADDISON","AL","110015663334","0",0,"N",0,0
"ADDISON NORTH STP, VILLAGE OF","ILL033812","711 NORTH ADDISON ROAD","ADDISON","IL","110018410245","8",0,"N",0,0
"ADDISON SOUTH-A.J. LAROCCA STP","ILL027367","333 SOUTH VILLA AVENUE","ADDISON","IL","110018068810","10",0,"N",0,0
"ADELANTO WWTF","CAL010520","19101 JONATHAN ST.","ADELANTO","CA","110070001961","7",0,"N",0,0
"ADELPHI WWTP","TX0083887","1420' W OF THE INTEXT OF MEADOW RD AND WOODLAND DR","QUINLAN","TX","110010131295","0",0,"N",0,0
"ADENA WWTP","OH0021661","SMITHFIELD TWP RD 122","ADENA","OH","110040041503","0",0,"N",0,0
"ADRIAN WWTP","MI0022152","1001 OAKWOOD RD","ADRIAN","MI","110009026767","7",0,"N",0,0
"ADVANCE LAPEER INC","MI0055972","2101 NORTH LAPEER ROAD","LAPEER","MI","110003611039","0",0,"N",0,0
"AES-PIEDMONT WATER-OCONEE CROSSING URBAN WATER REUSE FACILITY","GAL300632","106 MAHAFFEY DRIVE","EATONTON","GA","110070003067","0",0,"N",0,0
"AFFORDABLE SEPTIC STORAGE","WI0065854","1105 SOUTH RIVER RD","BUFFALO CITY","WI","110070015064","0",0,"N",0,0
"AFS GROUP","TX0122521","9135 AIRLINE DR","HOUSTON","TX","110006800499","12",0,"N",0,0
"AGRESOURCE INC. - IPSWICH FACILITY","MAL900001","110 BOXFORD ROAD","ROWLEY","MA","110070543534","0",0,"N",0,0
"AGSPREAD, INC.","INL900001","2214 EAST COUNTY ROAD 1650 NORTH","LINCOLN CITY","IN","110071442900","0",0,"N",0,0
"AGUA DULCE WWTF","TX0033367","450' SE INTX OF ST HWY 44 EAST AND FMR 70","AGUA DULCE","TX","110009780264","1",0,"N",0,0
"AGUSTA CO. SERVICE AUTH.","VAL022292","P.O BOX 859","VERONA","VA","110054928487",,0,"N",0,0
"AGUSTA COUNT SERVICE AUTH","VAL064637","P.O. BOX 859","VERONA","VA","110055008502",,0,"N",0,0
"AIKEN PSA HORSE CREEK WWTF","SC0024457","70 PSA ROAD","BEECH ISLAND","SC","110000706941","6",0,"N",0,0
"AIKEN PSA/HORSE CREEK WWTF","SCL024457","70 PSA RD ; HWY 125 S","BEECH ISLAND","SC","110000706941","6",0,"N",0,0
"AIRPORT WWTF","TX0027791","7618 MUSTANG DR","GALVESTON","TX","110000502457","0",0,"N",0,0
"AIRWAY HEIGHTS WATER RECLAMATION","WAL011457","1208 S LUNDSTROM ST","AIRWAY HEIGHTS","WA","110042202087","4",0,"N",0,0
"AJ BROWN PARKER CREEK WWTF","TX0072974","94 PARKER CREEK RD","HUNTSVILLE","TX","110064595326","0",0,"N",0,0
"AKRON LAGOON","AL0059714","287 OAK VILLAGE RD","AKRON","AL","110056000884","3",0,"N",0,0
"AKRON WPCF","OH0023833","2460 AKRON-PENINSULA RD","AKRON","OH","110001625340","0",0,"N",0,0
"AKRON-FAIRGROVE WWSL","MIG580086","4627 DUTCHER ROAD","AKRON","MI","110009027560","0",0,"N",0,0
"ALABAMA BELLE WWTP","AL0081698","COUNTY ROAD 531","CENTRE","AL","110054908891","3",0,"N",0,0
"ALABASTER WWTP","AL0025828","104 8TH AVENUE NW","ALABASTER","AL","110055975075","2",0,"N",0,0
"ALAMOSA  CITY OF","COL044458","PO BOX 419","ALAMOSA","CO","110070000629",,0,"N",0,0
"ALAMOSA, CITY OF","COG650088","PO BOX 419","ALAMOSA","CO","110012378426","3",0,"N",0,0
"ALAN RITCHEY MATERIAL CO, LC-POPE'S POINT","OKG950067","6992 STATE ROAD 78","HENDRIX","OK","110070262918","I",1,"N",0,0
"ALANS MHP-DURAND","MIG580399","11699 EAST LANSING ST.","DURAND","MI","110013091162","0",0,"N",0,0
"ALBA WWTF","TX0022489","101 COUNTRY ROAD 1689","ALBA","TX","110016755037","0",0,"N",0,0
"ALBANY CO SD","NYL026867","PO BOX 4187","ALBANY","NY","110069999987",,3,"Y",5,0
"ALBANY CO SD","NYL026875","PO BOX 4187","ALBANY","NY","110069999987",,3,"N",2,0
"ALBANY WWTP","IL0023302","FOURTH AND MAIN STREET","ALBANY","IL","110009988914","0",0,"N",0,0
"ALBANY WWTP","OH0127809","6060 E CLINTON ST","ALBANY","OH","110016767453","0",0,"N",0,0
"ALBANY-JOSHUA STREET WPCP","GAL020991","P.O. BOX 447","ALBANY","GA","110070003717",,0,"N",0,0
"ALBANY-MILLERSBURG WRF","ORL028801","408 WAVERLY DR NE","ALBANY","OR","110000916796","1",0,"N",0,0
"ALBERT LEA","MNL041092","SEC 25 T102N R21W","ALBERT LEA","MN","110070003418",,0,"N",0,0
"ALBION (V)","NYL028401","35-37 EAST BANK ST","ALBION","NY","110070003700","0",0,"N",0,0
"ALBION - STP","PAL023124","26 SMOCK AVENUE","ALBION","PA","110000978210","0",0,"N",0,0
"ALBION STP","WAL022608","PO BOX 38","ALBION","WA","110015538220","0",0,"N",0,0
"ALBION WWTF","NEL026573","420 W MARKET ST","ALBION","NE","110006674786","0",0,"N",0,0
"ALBION WWTP","IL0027405","239 TERMINAL ST","ALBION","IL","110009988193","0",0,"N",0,0
"ALBION WWTP","MI0022161","1000 BROWNSWOOD ROAD","ALBION","MI","110000759929","7",0,"N",0,0
"ALBION WWTP, CITY OF","ILL027405","SOUTH 8TH STREET","ALBION","IL","110009988193","0",0,"N",0,0
"ALBUQUERQUE BERNALILLO COUNTY WATER UTILITY AUTHORITY","NML022250","SOUTHSIDE WATER RECLAM. PT.","ALBUQUERQUE","NM","110000567075","6",0,"N",0,0
"ALCESTER, CITY OF (BIOSOLIDS)","SDLG21695","PO BOX 318","ALCESTER","SD","110009791902","0",0,"N",0,0
"ALCESTER- CITY OF","SDL021695","PO BOX 318","ALCESTER, CITY OF","SD","110009791902","0",1,"N",0,0
"ALCOSAN WASTEWATER TREAT PLANT","PAL025984","3300 PREBLE AVENUE","PITTSBURGH","PA","110001085076","0",4,"Y",9,0
"ALDERWOOD STP","WAL020826","3626 156TH ST SW","LYNNWOOD","WA","110039931394","0",1,"N",0,0
"ALDINE FOREST WWTP","TX0069582","1235 VERHALEN AVE","HOUSTON","TX","110010922822","13",0,"N",0,0
"ALDINE ISD CHRISMAN RD WTP","TX0094188","13300 CHRISMAN RD","HOUSTON","TX","110010922065","13",0,"N",0,0
"ALDINE OAKS MHP WWTP","TX0124265","716 GULF BANK RD","HOUSTON","TX","110009748568","12",0,"N",0,0
"ALDINE VILLAGE WWTP","TX0070769","813 HOLLYVALE DR","HOUSTON","TX","110010922760","13",0,"N",0,0
"ALDRIDGE CREEK WWTP","AL0056855","13331 MEMORIAL PARKWAY S.E.","HUNTSVILLE","AL","110014464739","0",0,"N",0,0
"ALEDO SOUTH STP, CITY OF","IL0027316","767 170TH STREET","ALEDO","IL","110009988184","0",0,"N",0,0
"ALEDO WWTP","TX0027120","600 BARNWELL RD","ALEDO","TX","110009746169","0",0,"N",0,0
"ALEDO, CITY OF","ILL027316","PO BOX 267","ALEDO","IL","110070002029",,0,"N",0,0
"ALEXANDER DAWSON SCHOOL","COL631005","10455 DAWSON DR","LAFAYETTE","CO","110037271207","0",0,"N",0,0
"ALEXANDER SEWER & DRAIN","OHL000041","2 S. MAIN STREET P.O. BOX 64","CASSTOWN","OH","110054106150","0",0,"N",0,0
"ALEXANDRIA CITY SANITARY AUTHO","VAL025160","1500 EISENHOWER AVENUE","ALEXANDRIA","VA","110020668981","0",0,"N",0,0
"ALEXANDRIA COMBINED SEW SYSTM","VAL087068","301 KING STREET, ROOM 4100","ALEXANDRIA","VA","110010913119","0",0,"N",0,0
"ALEXANDRIA COUNTRY DAY SCHOOL","LAJ660289","5603 BAYOU RAPIDES RD","ALEXANDRIA","LA","110027060418","0",0,"N",0,0
"ALEXANDRIA LAKE AREA SD","MNL040738","2201 NEVADA STREET","ALEXANDRIA","MN","110009895747","0",1,"N",0,0
"ALEXANDRIA MALL WWTP","AL0073946","ALABAMA HIGHWAY 144","ALEXANDRIA","AL","110010068149","0",0,"N",0,0
"ALEXANDRIA WWTP","IN0020044","CR 1706 W 1100 N","ALEXANDRIA","IN","110000731904","0",0,"N",0,0
"ALEXANDRIA WWTP","INL020044","CR 1100 N AND CR 1706 W","ALEXANDRIA","IN","110070003223",,0,"N",0,0
"ALEXANDRIA, CITY OF (HUDSON BL","LAL041009","1212 HUDSON BOULEVARD","ALEXANDRIA","LA","110037250417","7",1,"N",0,0
"ALEXIS STP","IL0021211","1133 295 AVENUE","ALEXIS","IL","110009989398","0",0,"N",0,0
"ALFRED (V)","NYL022357","7 UNIVERSITY ST","ALFRED","NY","110070002704","0",0,"N",0,0
"ALGER WWTP","OH0058327","STATE RTE 235","ALGER","OH","110006311650","3",1,"N",0,0
"ALGONA CITY OF STP","IA0022055","UNKNOWN","ALGONA","IA","110001967738","0",0,"N",0,0
"ALGONQUIN STP, VILLAGE OF","ILL023329","125 WILBRANT DRIVE","ALGONQUIN","IL","110039900676","0",1,"N",0,0
"ALGONQUIN WWTP, VILLAGE OF","IL0023329","125 WILBRANT DRIVE","ALGONQUIN","IL","110039900676","0",0,"N",0,0
"ALICEVILLE EAST LAGOON","AL0020770","11TH STREET SE","ALICEVILLE","AL","110055979393","2",0,"N",0,0
"ALICEVILLE WEST LAGOON","AL0056332","SW CORNER OF ALICEVILLE CITY LIMITS, NEAR MCCALL B","ALICEVILLE","AL","110055979400","5",0,"N",0,0
"ALLEGAN WRRF","MI0020532","350 NORTH ST","ALLEGAN","MI","110009909411","1",0,"N",0,0
"ALLEGHANY CO - LOWER JACKSON RIVER REGIONAL WWTP","VAL090671","9212 WINTERBERRY AVE","COVINGTON","VA","110070003791","0",0,"N",0,0
"ALLEGHENY VALLEY JOINT SEWER A","PAL026255","P.O. BOX 158","HARMAR, TOWNSHIP OF","PA","110000559529","0",0,"N",0,0
"ALLEGIANT MANAGEMENT","COL588041","PO BOX 66","WINTER PARK","CO","110070001952",,0,"N",0,0
"ALLENDALE TWP WRRF","MI0057679","11624 40TH AVENUE","ALLENDALE","MI","110009027294","2",0,"N",0,0
"ALLENDALE WWTF","SCL039918","1700 FT SW OF SC RD S-3-129","ALLENDALE","SC","110000916894","3",0,"N",0,0
"ALLENS CREEK WWTF","TX0025054","0.6 MI SE INTEX OF I-10 AND ST HWY 36","SEALY","TX","110009781129","0",0,"N",0,0
"ALLENTOWN CITY AUTHORITY-WASTE","PAL026000","435 HAMILTON STREET","ALLENTOWN","PA","110015751729","13",0,"N",0,0
"ALLEYTON WWTP","TX0115819","1303 OLD ALLEYTON RD","COLORADO COUNTY","TX","110009773049","1",0,"N",0,0
"ALLIANCE WATER RESOURCES","MOL104299","P.O. BOX 245","CAMERON","MO","110070004278",,1,"N",0,0
"ALLIANCE WWTP","OH0023868","12251 ROCKHILL AVE NE","ALLIANCE","OH","110000579348","0",0,"N",0,0
"ALLISON WWTP","TX0047082","4101 ALLISON RD","CORPUS CHRISTI","TX","110002047632","11",0,"N",0,0
"ALMA TOWN OF","COG591177","STATE HWY 9  ","ALMA","CO","110071541260","0",0,"N",0,0
"ALMA TOWN OF","CO0035769","STATE HWY 9 1/2 MILES SE OF TOWN","ALMA","CO","110022508197","0",1,"N",0,0
"ALMA WWTP","MI0020265","1000 WASHINGTON AVENUE","ALMA","MI","110009909750","4",0,"N",0,0
"ALMA, CITY OF","ARL021466","2500 ORRICK ROAD","ALMA","AR","110025058773","3",0,"N",0,0
"ALMA, CITY OF (ALMA WPCP)","GA0032328","884 RADIO STATION RD","ALMA","GA","110017441687","3",0,"N",0,0
"ALMEDA SIMS WWTP","TX0034924","12319 1/2 ALMEDA RD","HOUSTON","TX","110015742838","7",0,"N",0,0
"ALMONT WWTF","COG590012","130 CR 742","ALMONT","CO","110006782160","0",0,"N",0,0
"ALMONT WWTP","MI0020931","401 SPRING ST","ALMONT","MI","110009900795","0",0,"N",0,0
"ALOE FIELD WWTF","TX0023477","731 GROUSE RD","VICTORIA","TX","110009781334","1",0,"N",0,0
"ALPENA WWTP","MI0022195","210 HARBOR DRIVE","ALPENA","MI","110009909304","4",0,"N",0,0
"ALPHA INDUSTRIAL PARK","LAJ660193","68470 HWY 59","MANDEVILLE","LA","110044261553","0",0,"N",0,0
"ALPINE BAY WWTP","AL0051268","2 AQUARIUS DRIVE","ALPINE","AL","110009122369","7",0,"N",0,0
"ALTA CITY OF WWTF","IA0024449","223 MAIN STREET","ALTA","IA","110010036380","1",1,"N",0,0
"ALTAMONTE SPRINGS REGIONAL WRF","FL0033251","950 KELLER RD","ALTAMONTE SPRINGS","FL","110039823572","3",0,"N",0,0
"ALTAMONTE SPRINGS, CITY OF","FLL033251","225 NEWBURYPORT AVE","ALTAMONTE SPG","FL","110039823572","3",0,"N",0,0
"ALTENLOH BRINCK & CO US INC","OH0122254","02105 WILLIAMS CO RD 12-C","BRYAN","OH","110006224433","0",0,"N",0,0
"ALTIVISTA  STP","VAL020451","E FRANKLIN ST","ALTAVISTA","VA","110008182527","0",0,"N",0,0
"ALTON STP, CITY OF","ILL027464","19 CHESSEN LANE","ALTON","IL","110000759625","9",0,"N",0,0
"ALTON STP, CITY OF","IL0027464","19 CHESSEN LANE","ALTON","IL","110000759625","9",0,"N",0,0
"ALTOONA CITY AUTHORITY-EASTERL","PAL027014","144 WESTERLY TREATMENT PLT. RD.","ALTOONA","PA","110006802870","0",0,"N",0,0
"ALTOONA CITY AUTHORITY-WESTERL","PAL027022","144 WESTERLY TREATMENT PLT. ROAD","ALTOONA","PA","110006802870","0",0,"N",0,0
"ALTUS SE WWTP","OK0028037","220 EAST COMMERCE","ALTUS","OK","110000753471","I",4,"N",0,0
"ALUM CREEK WWTP","OH0121380","7767 WALKER WOOD BLVD","LEWIS CENTER","OH","110008587234","5",0,"N",0,0
"AMADOR CNTY REGIONAL OUTFALL","CAL010532","500 ARGONAUT LANE","JACKSON","CA","110055796303","1",0,"N",0,0
"AMBLER BORO","PAL026603","122 E. BUTLER AVENUE","AMBLER","PA","110000942623","0",0,"N",0,0
"AMBOY STP, CITY OF ","IL0027472","ROCKYFORD ROAD SOUTH","AMBOY","IL","110009988200","1",0,"N",0,0
"AMBOY TWP WWSL","MIG580008","4000 EAST TERRITORIAL ROAD","AMBOY TOWNSHIP","MI","110009911257","0",0,"N",0,0
"AMBOY TWP-LK DIANE WWSL","MIG580013","14411 TYSON TRAIL","CAMDEN","MI","110009911284","0",0,"N",0,0
"AMBRIDGE BORO MUN AUTH","PAL027146","600 ELEVENTH STREET","AMBRIDGE","PA","110012298307","1",0,"N",0,0
"AMC FACILITIES WWTF","TX0083836","18874 EAST HARDY RD","HOUSTON","TX","110033635118","1",0,"N",0,0
"AMELIA COURTHOUSE SANITARY DISTRICT STP","VAL091707","PO BOX A","AMELIA","VA","110070002770",,0,"N",0,0
"AMERICAN AUGERS INC","OH0130524","135 US RTE 42","WEST SALEM","OH","110006234486","0",0,"N",0,0
"AMERICAN CANYON WWTF","CAL038768","151 MEZZETTA COURT","AMERICAN CANYON","CA","110001162866","0",0,"N",0,0
"AMERICAN FALLS, CITY OF - AMERICAN FALLS WWTP","IDL020753","2250 VALDEZ STREET","AMERICAN FALLS","ID","110039977996","0",0,"N",0,0
"AMERICAN GYPSUM  CO.-WEST (PERRY) QUARRY","OK0043290","18972 WEST HWY 62","DUKE","OK","110007165076","1",2,"N",0,0
"AMERICAN NO 2 WWTP","OH0037338","4140 DILLER RD","ELIDA","OH","110009679650","2",0,"N",0,0
"AMERICAN WATER ENTERPRISES, INC.","ALL076821","POST OFFICE BOX 620397","FORT RUCKER","AL","110023134437","8",0,"N",0,0
"AMERICAN WATER ENTERPRISES-FORT SILL","OK0030295","DIRECTORATE OF PUBLIC WORKS","LAWTON","OK","110020515030","0",4,"N",0,0
"AMERICAN WATER OPERATIONS AND MAINTENANCE, INC. FORT MEADE WWTP","MDL021717","3220 LAUREL - FT. MEADE","LAUREL","MD","110049522875","8",0,"N",0,0
"AMERICAN-BATH WWTP","OH0023841","3226 N COLE ST","LIMA","OH","110040029929","0",0,"N",0,0
"AMERICUS WWTP MILL CREEK","GAL047707","P.O. BOX 526","AMERICUS","GA","110069999259",,0,"N",0,0
"AMES WATER POLLUTION CONTROL FACILITY","IA0035955","76797 280TH STREET","AMES","IA","110042330867","0",0,"N",0,0
"AMESBURY W W T P","MA0101745","19 MERRIMAC ST","AMESBURY","MA","110039709893","0",0,"N",0,0
"AMESBURY W W T P","MAL101745","19 MERRIMAC ST","AMESBURY","MA","110039709893","0",0,"N",0,0
"AMHERST (T)","NYL025950","1100 NORTH FOREST RD","WILLIAMSVILLE","NY","110070001632","0",0,"N",0,0
"AMHERST W W T P","MA0100218","1 MULLIN WAY","HADLEY","MA","110009917661","0",0,"N",0,0
"AMHERST W W T P","MAL100218","100 MULLINS WAY","HADLEY","MA","110064096570","0",0,"N",0,0
"AMHERST WPCC","OH0021628","931 LAKE ST","AMHERST","OH","110000735269","0",1,"N",0,0
"AMITE CITY, TOWN OF","LAL038431","CHERRY STREET","AMITE","LA","110064616624","5",0,"N",0,0
